id,url,action,label,decided_at,notes,summary,summary_generated_at,selected_for_newsletter,newsletter_category_override
0ec820cc-6177-46a8-8407-79594d5f2245,https://www.thesun.co.uk/tv/39170895/gemma-collins-ridiculed-department-education-videos-one-gcse/,reject,,2026-05-21T10:17:54.732241+00:00,,,,False,
9573dda8-f830-42ab-ad84-b5cedcd9db8b,https://www.thetimes.com/uk/education/article/gemma-collins-bridget-phillipson-video-social-media-zfp5qc8sx,reject,,2026-05-21T10:17:58.283341+00:00,,,,False,
7146849b-bfb4-4d0f-aa1f-3df6dac63f59,https://www.telegraph.co.uk/politics/2026/05/20/phillipson-to-ban-trans-women-from-female-toilets/,reject,,2026-05-21T10:18:00.992396+00:00,,,,False,
f030dce8-f0ba-4915-b5ea-e001a3287515,https://www.telegraph.co.uk/news/2026/05/20/labour-plans-special-needs-pupils-mainstream-pressure/,reject,,2026-05-21T10:18:04.614866+00:00,,,,False,
0021515b-fc19-4727-a73a-bdc8dd8d4236,https://schoolsweek.co.uk/send-reforms-risk-smothering-schools-government-warned/,save_for_later,,2026-05-21T10:19:11.451988+00:00,,,,False,
5495db8b-1297-4a35-8bf1-5b605306fd4e,https://www.lbc.co.uk/article/government-backlash-gemma-collins-education-5HjdZS6_2/,reject,,2026-05-21T10:19:15.543261+00:00,,,,False,
234d2201-4e01-4aa8-b544-6eb9d21c8aff,https://walthamforestecho.co.uk/2026/05/20/trepidation-uncertainty-and-rage-dispatches-from-the-picket-line-at-henry-maynard-primary-school/,reject,,2026-05-21T10:19:22.077556+00:00,,,,False,
373520ac-cce9-4d45-8a6d-96ac2fe830d5,https://www.bbc.co.uk/news/articles/cd6pw448nqdo,reject,,2026-05-21T10:19:24.188091+00:00,,,,False,
cbaee98a-9aa5-4f04-9b8b-39954606a056,https://order-order.com/2026/05/20/phillipson-defends-gemma-collins-collaboration-after-kids-you-could-be-like-me-video/,reject,,2026-05-21T10:19:26.714946+00:00,,,,False,
f2aef521-1bcc-4c75-8592-11e7c96a02ae,https://www.thecanary.co/uk/news/2026/05/20/department-for-education-send/,reject,,2026-05-21T10:19:29.384085+00:00,,,,False,
4ad8c95d-25ea-4d03-90a3-c79d87a4e3c7,https://www.gov.uk/government/publications/dfe-update-20-may-2026,reject,,2026-05-21T10:19:47.643918+00:00,,,,False,
